Team,Position,FirstName,LastName,bat1,bat2,bat3,Batting,pitch1,pitch2,pitch3,Pitching,def1,def2,def3,Defense,run1,run2,run3,Baserunning
trapdoors,batter,Peanut,Internet,3,1,4,8,3,4,5,12,2,5,5,12,3,3,5,11
trapdoors,batter,Marco,Leaf,2,4,6,12,2,2,2,6,3,6,4,13,2,1,3,6
trapdoors,batter,Logan,Harrison,2,2,1,5,1,1,1,3,4,5,3,12,2,5,1,8
trapdoors,batter,Parker,Summer,1,4,4,9,3,3,2,8,4,6,1,11,4,1,1,6
trapdoors,batter,Caligula,Winters,3,3,3,9,1,5,2,8,3,4,1,8,4,3,2,9
trapdoors,batter,Oliver,Pony,2,4,1,7,1,1,6,8,6,1,5,12,5,5,2,12
trapdoors,batter,Velasquez,Mueller,4,3,3,10,1,4,1,6,6,1,1,8,1,3,3,7
trapdoors,batter,Hendricks,Games,4,4,2,10,1,2,4,7,2,3,3,8,6,4,1,11
trapdoors,batter,Tillman,Septemberish,3,6,5,14,1,2,1,4,1,6,4,11,4,2,4,10
trapdoors,pitcher,Marco,Crankit,5,5,4,14,5,2,4,11,6,4,5,15,6,2,6,14
trapdoors,pitcher,Stevenson,Escobar,3,3,3,9,4,1,4,9,5,1,1,7,5,1,3,9
trapdoors,pitcher,Lang,Patterson,6,1,2,9,5,4,3,12,1,3,6,10,4,2,2,8
trapdoors,pitcher,Thomas,Beyonce,2,1,4,7,6,5,4,15,5,4,5,14,3,2,1,6
trapdoors,pitcher,Logan,Simmons,4,4,3,11,6,3,3,12,1,1,3,5,1,5,5,11
vegans,batter,Rat,Dudley,6,1,2,9,6,1,4,11,2,3,4,9,3,4,3,10
vegans,batter,Juan,King,6,3,3,12,2,2,2,6,2,2,1,5,1,6,5,12
vegans,batter,Wanda,Clembons,2,6,1,9,3,4,3,10,3,3,2,8,3,6,1,10
vegans,batter,Marco,Garbage,1,6,5,12,3,3,4,10,4,1,3,8,5,4,1,10
vegans,batter,Walton,Guerra,3,1,5,9,5,3,5,13,3,6,6,15,5,3,6,14
vegans,batter,Raúl,Turquoise,6,2,3,11,2,3,5,10,2,6,2,10,5,1,5,11
vegans,batter,Yosh,Woodman,1,3,1,5,6,3,4,13,4,1,1,6,4,4,2,10
vegans,batter,Spears,Games,6,2,2,10,2,1,1,4,4,5,2,11,4,3,5,12
vegans,batter,Tillman,Richardson,5,2,6,13,2,1,5,8,3,6,6,15,2,1,2,5
vegans,pitcher,Thomas,Mitchell,2,2,2,6,3,3,1,7,1,2,3,6,3,2,5,10
vegans,pitcher,Eugenia,Steakknife,2,2,3,7,1,5,2,8,6,3,4,13,5,2,2,9
vegans,pitcher,Fynn,Wheeler,2,6,2,10,6,1,2,9,2,4,3,9,2,2,6,10
vegans,pitcher,Yeong-Ho,Vaughan,2,2,6,10,5,5,5,15,3,6,4,13,3,1,4,8
vegans,pitcher,Ren,Cena,2,4,3,9,5,3,6,14,6,4,3,13,3,2,1,6
firewalls,batter,Avila,Richardson,1,4,1,6,1,1,6,8,5,4,4,13,2,5,6,13
firewalls,batter,Swamuel,Fox,3,2,4,9,6,5,1,12,1,2,3,6,4,2,2,8
firewalls,batter,Wyatt,Butt,5,2,5,12,5,1,5,11,2,2,5,9,3,2,5,10
firewalls,batter,Snyder,Johnson,4,4,3,11,2,2,3,7,3,6,1,10,6,1,4,11
firewalls,batter,Malik,Melon,3,1,4,8,3,3,6,12,1,4,4,9,2,1,1,4
firewalls,batter,Alexandria,Javier,5,4,6,15,2,5,2,9,4,4,1,9,4,3,1,8
firewalls,batter,Mullen,Gloom,4,1,4,9,2,3,5,10,6,6,1,13,1,1,1,3
firewalls,batter,Hobbs,Fischer,1,4,6,11,6,5,5,16,1,6,2,9,2,3,6,11
firewalls,batter,August,Preston,2,5,6,13,6,5,1,12,4,5,3,12,4,6,6,16
firewalls,pitcher,Campos,Fischer,4,4,4,12,1,6,2,9,1,2,3,6,5,6,2,13
firewalls,pitcher,Sigmund,Wise,4,6,4,14,5,1,5,11,2,4,6,12,1,1,5,7
firewalls,pitcher,Cornelius,Voorhees,3,1,6,10,3,2,4,9,1,4,1,6,1,6,5,12
firewalls,pitcher,Justice,Urlacher,6,5,6,17,1,3,3,7,1,2,5,8,6,6,4,16
firewalls,pitcher,Cory,Torres,1,1,1,3,6,5,3,14,4,6,3,13,2,1,6,9
paladins,batter,Justice,Garbage,5,6,4,15,6,5,1,12,5,3,6,14,1,1,6,8
paladins,batter,Jorge,Urlacher,2,2,1,5,1,5,3,9,5,6,5,16,4,6,5,15
paladins,batter,Beasley,Scott,6,3,4,13,4,2,2,8,3,1,5,9,1,4,3,8
paladins,batter,Ron,Townsend,6,4,6,16,2,5,3,10,2,6,5,13,1,6,2,9
paladins,batter,Simon,Acevedo,6,5,3,14,3,5,4,12,6,4,3,13,3,1,4,8
paladins,batter,Kathy,Wallace,3,6,3,12,2,6,4,12,4,1,3,8,3,1,3,7
paladins,batter,Tillman,Washington,2,5,3,10,1,5,5,11,4,3,5,12,1,6,4,11
paladins,batter,Randy,Garner,1,4,6,11,1,4,1,6,4,5,5,14,1,2,1,4
paladins,batter,Eduardo,Simmons,2,1,2,5,3,3,6,12,2,2,4,8,2,2,1,5
paladins,pitcher,Dudley,Doctor,6,6,4,16,5,3,6,14,3,2,1,6,2,1,5,8
paladins,pitcher,Conrad,Jaylee,6,5,6,17,3,6,1,10,4,4,1,9,2,4,5,11
paladins,pitcher,Landry,Pothos,1,6,2,9,5,6,2,13,5,3,3,11,3,1,2,6
paladins,pitcher,Ren,Doyle,2,2,1,5,4,5,5,14,3,2,2,7,6,1,4,11
paladins,pitcher,Halexandrey,Zimmerman,4,4,6,14,3,6,6,15,4,2,4,10,4,5,2,11
chainsaws,batter,Hahn,Santiago,3,4,5,12,1,1,3,5,5,4,4,13,2,4,6,12
chainsaws,batter,Ron,Santiago,4,2,1,7,5,5,1,11,6,4,1,11,1,1,6,8
chainsaws,batter,Blankenship,Bickle,4,1,3,8,6,2,6,14,4,6,6,16,2,1,5,8
chainsaws,batter,Brock,Davids,2,2,3,7,2,5,6,13,5,2,4,11,1,4,6,11
chainsaws,batter,Jasmine,Garcia,2,3,2,7,3,1,3,7,5,4,3,12,6,5,5,16
chainsaws,batter,Justice,Stink,6,6,5,17,3,4,2,9,4,5,3,12,1,5,3,9
chainsaws,batter,Betsy,Richardson,6,5,4,15,2,2,6,10,6,4,2,12,6,1,4,11
chainsaws,batter,Tiana,Urlacher,1,5,3,9,1,6,4,11,3,1,3,7,1,6,4,11
chainsaws,batter,Zeboriah,Gloom,1,6,3,10,4,3,2,9,1,3,3,7,3,2,5,10
chainsaws,pitcher,Atlas,Cardenas,3,2,3,8,1,4,4,9,5,2,1,8,2,3,6,11
chainsaws,pitcher,Yosh,Preston,1,3,2,6,4,3,5,12,5,2,3,10,4,4,3,11
chainsaws,pitcher,Bright,James,6,3,4,13,4,2,1,7,1,2,2,5,6,1,6,13
chainsaws,pitcher,Agan,Briggs,2,1,2,5,4,6,2,12,6,1,6,13,1,3,4,8
chainsaws,pitcher,Yosh,Ramsey,3,1,3,7,5,5,5,15,2,1,6,9,2,4,4,10
skeletons,batter,Moody,Cervantes,2,4,6,12,6,2,3,11,3,6,5,14,5,6,3,14
skeletons,batter,Francisca,Rubberman,5,5,6,16,4,3,4,11,1,1,2,4,3,5,3,11
skeletons,batter,Jorge,Benitez,1,1,5,7,5,6,2,13,5,4,5,14,6,2,5,13
skeletons,batter,Bennett,Ross,6,3,5,14,5,5,2,12,6,5,1,12,5,3,4,12
skeletons,batter,Declan,Walton,3,4,3,10,3,5,5,13,2,4,1,7,1,3,2,6
skeletons,batter,Dunlap,Greatness,4,4,4,12,5,3,6,14,5,1,2,8,5,3,6,14
skeletons,batter,Halexandrey,Acevedo,4,2,6,12,1,6,5,12,4,2,2,8,4,6,3,13
skeletons,batter,Eizabeth,Marshallow,3,6,6,15,1,6,2,9,6,2,4,12,2,4,5,11
skeletons,batter,Gabriel,Rosa,1,6,4,11,3,1,4,8,2,5,4,11,6,6,6,18
skeletons,pitcher,Orville,Romayne,1,6,1,8,5,3,2,10,1,6,4,11,3,3,2,8
skeletons,pitcher,Andrew,Meadows,1,4,2,7,4,3,4,11,3,1,1,5,2,6,6,14
skeletons,pitcher,Terrell,Heat,3,3,1,7,2,5,5,12,3,5,5,13,2,6,5,13
skeletons,pitcher,Axel,Preston,3,5,3,11,3,5,5,13,6,5,2,13,5,3,1,9
skeletons,pitcher,Stephanie,Poole,1,6,6,13,4,1,6,11,4,3,2,9,3,3,3,9
