Season;Episode;Title
1;1;The Man Trap
1;2;Charlie X
1;3;Where No Man Has Gone Before
1;4;The Naked Time
1;5;The Enemy Within
1;6;Mudd's Women
1;7;What Are Little Girls Made Of?
1;8;Miri
1;9;Dagger of the Mind
1;10;The Corbomite Maneuver
1;11;The Menagerie
1;13;The Conscience of the King
1;14;Balance of Terror
1;15;Shore Leave
1;16;The Galileo Seven
1;17;The Squire of Gothos
1;18;Arena
1;19;Tomorrow Is Yesterday
1;20;Court Martial
1;21;The Return of the Archons
1;22;Space Seed
1;23;A Taste of Armageddon
1;24;This Side of Paradise
1;25;The Devil in the Dark
1;26;Errand of Mercy
1;27;The Alternative Factor
1;28;The City on the Edge of Forever
1;29;Operation -- Annihilate!
2;1;Amok Time
2;2;Who Mourns for Adonais?
2;3;The Changeling
2;4;Mirror, Mirror
2;5;The Apple
2;6;The Doomsday Machine
2;7;Catspaw
2;8;I, Mudd
2;9;Metamorphosis
2;10;Journey to Babel
2;11;Friday's Child
2;12;The Deadly Years
2;13;Obsession
2;14;Wolf in the Fold
2;15;The Trouble with Tribbles
2;16;The Gamesters of Triskelion
2;17;A Piece of the Action
2;18;The Immunity Syndrome
2;19;A Private Little War
2;20;Return to Tomorrow
2;21;Patterns of Force
2;22;By Any Other Name
2;23;The Omega Glory
2;24;The Ultimate Computer
2;25;Bread and Circuses
2;26;Assignment: Earth
3;1;Spock's Brain
3;2;The Enterprise Incident
3;3;The Paradise Syndrome
3;4;And the Children Shall Lead
3;5;Is There in Truth No Beauty?
3;6;Spectre of the Gun
3;7;Day of the Dove
3;8;For the World Is Hollow and I Have Touched the Sky
3;9;The Tholian Web
3;10;Plato's Stepchildren
3;11;Wink of an Eye
3;12;The Empath
3;13;Elaan of Troyius
3;14;Whom Gods Destroy
3;15;Let That Be Your Last Battlefield
3;16;The Mark of Gideon
3;17;That Which Survives
3;18;The Lights of Zetar
3;19;Requiem for Methuselah
3;20;The Way to Eden
3;21;The Cloud Minders
3;22;The Savage Curtain
3;23;All Our Yesterdays
3;24;Turnabout Intruder